,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
Hydrogen embrittlement in different materials: a review,crossref,0.0,0.0,0.0,0.6805088025962567,,,,,,,
Hydrogen embrittlement of high strength pipeline steels,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Some problems of hydrogen in reactor structural materials: a review,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Characterizing solute hydrogen and hydrides in pure and alloyed titanium at the atomic scale,arxiv Library,1.0,1.0,0.0,0.6596790898336528,arxiv Library,0.0,,0.7012372404670276,1.0,0.0,
Fretting fatigue behavior of shot-peened Ti–6Al–4V under seawater environment,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Hydrogen-induced microstructure, texture and mechanical property evolutions in a high-pressure torsion processed zirconium alloy",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Effect of dilute H on crack tip plasticity in Zr,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Titanium alloys for aerospace applications,crossref,1.0,1.0,0.0,0.6400682362542522,,,,,,,
Perspectives on titanium science and technology,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Location of hydrogen in α-zirconium,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
The metal-hydrogen system: basic bulk properties,,,,,,,,,,,,
Atomic-scale Ab-initio study of the Zr-H system I. Bulk properties,,,,,,,,,,,,
Hexagonal-based ordered phases in H-Zr,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Hydrogen and vacancy clustering in zirconium,arxiv Library,1.0,1.0,0.0,0.6544001615225029,arxiv Library,0.0,,0.6848743613932466,1.0,0.0,
Effect of strain on solution energy of hydrogen in alpha-zirconium from first-principle calculations,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
A first-principles study of the theoretical strength and bulk modulus of hcp metals,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Hafnium-hydrogen,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Stability and mechanical properties of various Hf–H phases: a density-functional theory study,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Determination of the hydrogen site occupation in the α phase of zirconium hydride and in the α and β phases of titanium hydride by inelastic neutron scattering,crossref,0.0,1.0,0.0,0.7020137898575375,,,,,,,
Neutron diffraction study of hydrogen in α titanium,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Hydrogen in Ti-V alloys,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Optic phonon modes and superconductivity in α phase (Ti, Zr)-(H, D) alloys",,,,,,,,,,,,
Deuterium-site occupancy in the α and β phases of TiD_x,,,,,,,,,,,,
Hydrogen concentration estimation in metals at finite temperature using first-principles calculations and vibrational analysis,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Hydrogen solubility in hcp titanium with the account of vacancy complexes and hydrides: a DFT study,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Insights into the formation of titanium hydrides from first principles calculations,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
On the mechanism of hydride formation in α-Ti alloys,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Discussion of “on the mechanism of hydride formation in α-Ti alloys”,,,,,,,,,,,,
Hydride precipitation in titanium,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Hydrogen diffusion in titanium dihydrides from first principles,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Formation mechanism of hydride precipitation in commercially pure titanium,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
The mechanism of hydrogen diffusion in zirconium dihydrides,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Fundamental mechanism of tetragonal transitions in titanium hydride,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Atomic structure, mechanical quality, and thermodynamic property of TiH_x phases",,,,,,,,,,,,
Eco-friendly NiO/polydopamine nanocomposite for efficient removal of dyes from wastewater,crossref,1.0,1.0,0.0,0.6471661522614126,,,,,,,
Structure and optoelectronic properties of ferroelectric PVA-PZT nanocomposites,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Structural and dielectric characterization of synthesized nano-BSTO/PVDF composites for smart sensor applications,crossref,0.0,1.0,0.0,0.684112959850585,,,,,,,
"Preparation, structural, magnetic, and AC electrical properties of synthesized CoFe2O4 nanoparticles and its PVDF composites",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Temperature induced structural and polarization features in BaFe12O19,,,,,,,,,,,,
Function composites materials for shielding applications: correlation between phase separation and attenuation properties,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Cation ordering and magnetic properties of neodymium-barium manganites,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Structural and electrodynamic characteristics of the spinel-based composite system,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Crystal structure and magnetic properties of the BaFe12-xAlxO19 (x = 0.1–1.2) solid solutions,,,,,,,,,,,,
Frustrated exchange interactions formation at low temperatures and high hydrostatic pressures in La0.70Sr0.30MnO2.85,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Exploration of crystal structure, magnetic and dielectric properties of titanium-barium hexaferrites",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Changes in the structure, magnetization, and resistivity of BaFe12–xTixO19",,,,,,,,,,,,
"Preparation, phase stability, and magnetization behavior of high entropy hexaferrites",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
From ultrasoft pseudopotentials to the projector augmented-wave method,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Generalized gradient approximation made simple,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Restoring the density-gradient expansion for exchange in solids and surfaces,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Atoms, molecules, solids, and surfaces: applications of the generalized gradient approximation for exchange and correlation",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Improved adsorption energetics within density-functional theory using revised Perdew-Burke-Ernzerhof functionals,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Analytic projection from plane-wave and PAW wavefunctions and application to chemical-bonding analysis in solids,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
LOBSTER: a tool to extract chemical bonding from plane-wave based DFT,,,,,,,,,,,,
Fundamental influence of hydrogen on various properties of α-titanium,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Hydrogen solubility in zirconium alloys,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"Single-crystal elastic moduli and the hcp → bcc transformation in Ti, Zr, and Hf",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
The solubility of hydrogen in transition metals and alloys,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
The solubility of hydrogen in transition metals and their alloys,,,,,,,,,,,,
Nuclear-magnetic-resonance study of hydrogen alloying in the early transition metals (group VB),crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
"First-principles study of hydrogen trapping behavior in face centered cubic metals (M = Ni, Cu and Al) with monovacancy",,,,,,,,,,,,
